"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"346.953K Weight"	"388.311K Weight"	"434.6K Weight"	"486.406K Weight"	"544.387K Weight"	"609.28K Weight"	"681.909K Weight"	"763.195K Weight"	"854.171K Weight"	"955.992K Weight"	"1069.95K Weight"	"1197.49K Weight"	"1340.24K Weight"	"1500K Weight"
500	310	46.6434	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1000	310	45.0557	1	0	2	3	3	3	3	3	3	3	3	3	3	3	3	3
1500	310	49.7899	1	0	2	4	4	4	4	4	4	4	4	4	4	4	4	4
2000	310	49.6631	1	0	2	5	5	5	5	5	5	5	5	5	5	5	5	5
2500	310	47.6375	1	0	3	5	6	6	6	6	6	6	6	6	6	6	6	6
3000	310	53.3744	1	0	4	5	7	7	7	7	7	7	7	7	7	7	7	7
3500	388.311	46.2996	0.798328	0	4	4	6	7	7	7	7	7	7	7	7	7	7	7
4000	346.953	59.0974	0.893492	0	2	4	6	7	7	7	7	7	7	7	7	7	7	7
4500	310	49.7761	1	0	4	6	8	9	9	9	9	9	9	9	9	9	9	9
5000	434.6	58.6061	0.7133	0	4	6	6	9	9	9	9	9	9	9	9	9	9	9
5500	486.406	54.1452	0.637328	0	5	7	7	9	10	10	10	10	10	10	10	10	10	10
6000	346.953	49.0598	0.893492	0	3	7	7	9	10	10	10	10	10	10	10	10	10	10
6500	486.406	43.344	0.637328	0	3	7	6	8	10	10	10	10	10	10	10	10	10	10
7000	544.387	39.387	0.569448	0	3	6	6	8	9	10	10	10	10	10	10	10	10	10
7500	388.311	47.0881	0.798328	0	3	4	6	8	9	10	10	10	10	10	10	10	10	10
8000	346.953	66.4556	0.893492	0	2	4	5	8	9	10	10	10	10	10	10	10	10	10
8500	388.311	59.1467	0.798328	0	1	3	5	8	9	10	10	10	10	10	10	10	10	10
9000	388.311	46.8011	0.798328	0	1	2	5	7	9	10	10	10	10	10	10	10	10	10
9500	388.311	58.4005	0.798328	0	1	1	5	7	8	10	10	10	10	10	10	10	10	10
10000	310	57.6619	1	0	3	3	7	9	10	12	12	12	12	12	12	12	12	12
10500	609.28	61.9302	0.508797	0	3	3	7	9	9	11	12	12	12	12	12	12	12	12
11000	310	69.5903	1	0	4	4	8	10	10	12	13	13	12	13	13	13	13	13
11500	346.953	53.6639	0.893492	0	3	4	8	10	9	12	13	13	12	13	13	13	13	13
12000	388.311	58.6435	0.798328	0	3	3	8	9	9	12	13	13	12	13	13	13	13	13
12500	486.406	49.6306	0.637328	0	3	3	8	8	9	12	12	13	12	13	13	13	13	13
13000	609.28	45.5073	0.508797	0	3	3	7	8	9	11	12	13	12	13	13	13	13	13
13500	346.953	50.9188	0.893492	0	2	3	7	8	8	11	12	13	12	13	13	13	13	13
14000	346.953	56.8509	0.893492	0	1	3	7	8	8	11	12	12	12	13	13	13	13	13
14500	434.6	62.1491	0.7133	0	1	3	6	8	8	10	12	12	12	13	13	13	13	13
15000	310	71.1822	1	0	2	4	7	9	9	11	13	13	13	13	14	14	14	14
15500	486.406	66.0341	0.637328	0	2	4	7	8	9	11	13	12	13	13	14	14	14	14
16000	609.28	66.4518	0.508797	0	1	4	7	8	9	10	13	12	13	13	14	14	14	14
16500	486.406	48.7926	0.637328	0	2	5	8	8	10	11	14	13	14	14	15	15	15	15
17000	1069.95	49.88	0.289733	0	2	5	8	8	10	11	13	13	14	14	14	15	15	15
17500	434.6	66.9603	0.7133	0	2	5	7	7	10	11	13	13	14	14	14	15	15	15
18000	388.311	61.2913	0.798328	0	2	4	7	7	10	10	13	13	14	14	14	15	15	15
18500	434.6	87.0396	0.7133	0	2	4	6	7	10	10	12	13	14	14	14	15	15	15
19000	544.387	57.0308	0.569448	0	2	4	6	6	9	10	12	13	14	14	14	15	15	15
19500	346.953	75.5343	0.893492	0	1	4	6	6	9	10	12	12	14	14	14	15	15	15
20000	310	110.768	1	0	2	5	7	7	10	11	13	12	15	15	15	16	16	16
20500	388.311	54.9245	0.798328	0	2	4	7	7	10	11	13	12	15	15	15	15	16	16
21000	434.6	59.3842	0.7133	0	2	4	6	7	10	11	13	12	15	15	15	14	16	16
21500	346.953	71.2486	0.893492	0	1	4	6	7	10	11	13	12	15	14	15	14	16	16
22000	310	73.8536	1	0	2	5	6	8	11	12	14	13	16	15	16	15	17	17
22500	346.953	62.1156	0.893492	0	1	5	6	8	11	12	14	13	16	15	16	15	16	17
23000	346.953	70.1921	0.893492	0	0	5	6	8	11	12	14	13	16	15	15	15	16	17
23500	544.387	63.8085	0.569448	0	0	5	6	8	10	11	14	13	16	15	15	15	16	17
24000	434.6	88.0075	0.7133	0	0	5	5	8	10	11	13	13	16	15	15	15	16	17
24500	388.311	70.1654	0.798328	0	0	4	5	8	10	11	12	13	16	15	15	15	16	17
25000	310	73.9743	1	0	1	5	6	9	11	11	13	14	17	16	16	16	17	18
25500	310	68.1341	1	0	2	6	7	10	12	12	14	15	17	17	17	17	18	19
26000	310	77.5823	1	0	3	7	8	11	13	13	15	16	18	17	18	18	19	20
26500	310	129.563	1	0	4	8	9	12	14	14	16	17	19	18	19	19	20	20
27000	486.406	77.142	0.637328	0	4	7	9	11	14	14	16	17	19	18	19	19	20	20
27500	434.6	72.6558	0.7133	0	4	7	8	11	14	14	15	17	19	18	19	19	20	20
28000	310	78.5439	1	0	5	8	9	11	15	15	16	18	20	19	20	20	21	21
28500	544.387	80.7436	0.569448	0	5	8	9	10	14	15	16	18	20	19	20	20	21	21
29000	1069.95	58.8935	0.289733	0	4	8	9	10	14	15	16	18	20	19	19	20	21	21
29500	346.953	110.912	0.893492	0	3	8	9	10	14	15	16	18	20	19	19	20	20	21
30000	854.171	67.3456	0.362925	0	3	7	9	10	14	15	16	18	19	19	19	20	20	21
30500	681.909	84.8364	0.454606	0	3	7	9	10	14	15	15	18	18	19	19	20	20	21
31000	544.387	64.432	0.569448	0	3	6	9	10	13	15	15	18	18	19	19	20	20	21
31500	310	106.643	1	0	4	7	10	11	14	16	16	19	19	20	20	20	21	22
32000	310	83.8998	1	0	5	8	11	12	15	17	17	19	20	21	21	21	22	23
32500	544.387	78.1842	0.569448	0	5	8	11	12	14	17	17	18	20	21	21	21	22	23
33000	486.406	70.927	0.637328	0	5	8	11	11	14	17	16	18	20	21	21	21	22	23
33500	609.28	82.5615	0.508797	0	5	8	11	11	14	15	16	18	20	21	21	21	22	23
34000	346.953	100.635	0.893492	0	4	8	11	11	14	15	16	18	20	20	21	21	22	23
34500	544.387	78.4274	0.569448	0	4	8	11	11	13	15	16	17	20	20	21	21	22	23
35000	434.6	72.8989	0.7133	0	4	7	10	11	13	15	16	17	20	20	21	21	22	23
35500	346.953	117.894	0.893492	0	3	7	10	11	13	15	16	17	20	20	21	21	21	23
36000	544.387	59.0245	0.569448	0	3	6	10	11	12	15	16	17	20	20	21	21	21	23
36500	955.992	67.5986	0.324271	0	3	5	10	11	12	15	16	17	20	19	21	21	21	23
37000	609.28	81.2559	0.508797	0	3	5	10	11	12	14	16	17	19	19	21	21	21	23
37500	310	100.826	1	0	4	6	11	12	13	15	17	18	20	20	22	22	22	23
38000	346.953	96.0365	0.893492	0	3	6	11	12	13	15	17	18	20	20	21	22	22	23
38500	1197.49	62.9001	0.258874	0	3	6	11	12	13	15	17	18	20	20	20	21	22	23
39000	681.909	59.7264	0.454606	0	3	6	11	12	13	15	16	18	20	19	20	21	22	23
39500	763.195	63.4357	0.406187	0	3	6	11	12	13	15	16	17	20	19	19	21	22	23
40000	486.406	73.404	0.637328	0	3	6	11	11	13	15	16	17	20	19	19	21	21	23
40500	681.909	55.5112	0.454606	0	3	6	10	11	13	15	15	17	20	19	19	21	21	23
41000	388.311	81.1277	0.798328	0	3	5	10	11	13	15	15	17	20	19	19	21	21	22
41500	1500	62.9187	0.206667	0	3	5	10	11	13	15	15	17	19	19	19	21	21	21
42000	1197.49	65.4535	0.258874	0	4	6	11	12	14	16	16	18	20	20	20	21	22	22
42500	854.171	47.7285	0.362925	0	5	7	12	13	15	17	17	19	20	21	21	22	23	23
43000	434.6	72.6465	0.7133	0	5	7	11	13	15	17	17	19	19	21	21	22	23	23
43500	609.28	65.5805	0.508797	0	5	7	11	13	15	16	17	19	19	20	21	22	23	23
44000	854.171	66.8394	0.362925	0	5	7	11	13	15	16	16	19	18	20	21	22	23	23
44500	1340.24	60.3387	0.231302	0	5	7	11	12	15	16	16	19	18	20	21	22	22	23
45000	1069.95	54.4075	0.289733	0	5	7	11	12	14	16	16	19	18	20	20	22	22	23
45500	1340.24	52.4388	0.231302	0	5	7	11	12	13	16	16	19	18	20	20	22	21	23
46000	1197.49	57.1435	0.258874	0	4	7	11	12	13	16	16	19	18	20	20	21	21	23
46500	544.387	65.8521	0.569448	0	3	7	11	12	12	16	16	19	18	20	20	21	21	23
47000	763.195	62.6068	0.406187	0	3	7	11	11	12	16	16	18	18	20	20	21	21	23
47500	486.406	79.0974	0.637328	0	3	7	10	10	12	16	16	18	18	20	20	21	21	23
48000	434.6	73.3698	0.7133	0	3	7	9	10	12	16	16	17	18	20	20	21	21	23
48500	681.909	77.6135	0.454606	0	3	7	9	10	12	16	15	17	18	20	19	21	21	23
49000	609.28	66.0057	0.508797	0	3	7	9	10	12	15	15	17	17	20	19	21	21	23
49500	1197.49	39.6218	0.258874	0	3	6	9	10	12	15	15	17	17	20	19	20	21	23
50000	1500	50.4489	0.206667	0	3	6	8	10	12	15	15	17	17	20	19	20	21	22
50500	763.195	58.4757	0.406187	0	3	6	8	9	12	15	15	16	17	20	19	20	21	22
51000	310	80.7439	1	0	4	7	9	10	13	16	16	17	18	21	20	21	22	22
51500	1197.49	59.3208	0.258874	0	4	7	9	10	13	16	16	17	18	20	20	20	22	22
52000	1500	42.6054	0.206667	0	4	7	9	10	12	16	16	17	18	20	20	20	22	21
52500	609.28	54.1194	0.508797	0	4	6	9	10	12	15	16	17	18	20	20	20	22	21
53000	609.28	79.9228	0.508797	0	4	6	9	10	12	14	16	17	18	20	19	20	22	21
53500	763.195	76.9772	0.406187	0	4	6	9	10	12	14	16	16	18	19	19	20	22	21
54000	763.195	61.1263	0.406187	0	5	7	10	11	13	15	17	16	19	20	20	21	23	22
54500	955.992	53.8554	0.324271	0	5	7	10	10	13	15	17	16	19	19	20	21	23	22
55000	681.909	64.4724	0.454606	0	4	7	10	10	13	15	16	16	19	19	20	21	23	22
55500	1340.24	51.2211	0.231302	0	4	6	10	10	13	15	16	16	19	19	20	21	22	22
56000	1340.24	65.0003	0.231302	0	4	6	9	10	13	15	16	16	19	19	20	21	21	22
56500	1197.49	55.0343	0.258874	0	4	6	9	10	13	15	15	16	19	19	20	20	21	22
57000	310	132.254	1	0	5	7	10	11	14	16	16	17	20	20	21	20	22	23
57500	310	161.444	1	0	6	8	11	12	15	17	17	18	21	21	21	21	23	24
58000	1197.49	64.8909	0.258874	0	5	8	11	12	15	17	17	18	21	21	21	20	23	24
58500	1500	46.4822	0.206667	0	5	8	10	12	15	17	17	18	21	21	21	20	23	23
59000	854.171	57.107	0.362925	0	5	8	10	12	15	17	17	18	20	21	20	20	23	23
59500	434.6	81.7016	0.7133	0	5	8	9	12	15	17	17	18	20	21	20	20	23	22
60000	486.406	63.9615	0.637328	0	5	7	9	11	15	17	17	18	20	21	20	20	23	22
60500	1340.24	50.5261	0.231302	0	5	7	9	11	15	16	17	18	20	21	20	20	22	22
61000	544.387	73.6203	0.569448	0	6	8	10	12	15	17	18	19	21	22	21	21	23	23
61500	854.171	71.7825	0.362925	0	6	8	10	12	15	16	18	19	20	22	21	21	23	23
62000	1069.95	70.9802	0.289733	0	5	8	10	12	15	16	18	19	20	22	20	21	23	23
62500	1340.24	72.2462	0.231302	0	5	7	10	12	15	16	18	19	20	22	20	21	22	23
63000	388.311	82.9357	0.798328	0	6	7	11	13	16	17	19	20	21	23	21	22	23	24
63500	310	116.071	1	0	7	8	12	14	17	18	20	20	22	24	22	23	24	25
64000	346.953	104.52	0.893492	0	6	8	12	14	17	18	20	20	21	24	22	23	24	25
64500	346.953	125.246	0.893492	0	5	8	12	14	17	18	20	20	21	24	22	22	24	25
