"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"347.828K Weight"	"390.272K Weight"	"437.895K Weight"	"491.33K Weight"	"551.284K Weight"	"618.555K Weight"	"694.035K Weight"	"778.725K Weight"	"873.75K Weight"	"980.37K Weight"	"1100K Weight"
50	310	44.8495	1	0	1	1	1	1	1	1	1	1	1	1	1
100	310	41.6686	1	0	2	2	2	2	2	2	2	2	2	2	2
150	390.272	41.1137	0.794318	0	2	1	2	2	2	2	2	2	2	2	2
200	437.895	42.4687	0.707932	0	2	1	1	2	2	2	2	2	2	2	2
250	347.828	49.7588	0.891245	0	1	1	1	2	2	2	2	2	2	2	2
300	347.828	43.0584	0.891245	0	0	1	1	2	2	2	2	2	2	2	2
350	390.272	45.9716	0.794318	0	0	0	1	2	2	2	2	2	2	2	2
400	310	61.1602	1	0	1	1	2	3	3	3	3	3	3	3	3
450	310	47.1582	1	0	2	2	3	4	4	4	4	4	4	4	4
500	347.828	61.6954	0.891245	0	1	2	3	4	4	4	4	4	4	4	4
550	310	61.3275	1	0	2	3	4	5	5	5	5	5	5	5	5
600	310	69.501	1	0	3	4	5	6	6	6	6	6	6	6	6
650	347.828	56.3198	0.891245	0	2	4	5	6	6	6	6	6	6	6	6
700	437.895	50.493	0.707932	0	2	4	4	6	6	6	6	6	6	6	6
750	310	62.8264	1	0	3	5	5	7	7	7	7	7	7	7	7
800	390.272	61.3845	0.794318	0	3	4	5	7	7	7	7	7	7	7	7
850	347.828	55.5492	0.891245	0	2	4	5	7	7	7	7	7	7	7	7
900	310	50.6243	1	0	3	5	6	8	8	8	8	8	8	8	8
950	347.828	51.6668	0.891245	0	2	5	6	8	8	8	8	8	8	8	8
1000	491.33	54.107	0.630941	0	2	5	6	7	8	8	8	8	8	8	8
1050	390.272	44.3359	0.794318	0	2	4	6	7	8	8	8	8	8	8	8
1100	491.33	45.9033	0.630941	0	2	4	6	6	8	8	8	8	8	8	8
1150	551.284	40.9386	0.562323	0	2	4	6	6	7	8	8	8	8	8	8
1200	310	42.9059	1	0	3	5	7	7	8	9	9	9	9	9	9
1250	437.895	49.2554	0.707932	0	3	5	6	7	8	9	9	9	9	9	9
1300	491.33	55.4578	0.630941	0	3	5	6	6	8	9	9	9	9	9	9
1350	310	56.7436	1	0	4	6	7	7	9	10	10	10	10	10	10
1400	437.895	45.6687	0.707932	0	4	6	6	7	9	10	10	10	10	10	10
1450	347.828	46.5394	0.891245	0	3	6	6	7	9	10	10	10	10	10	10
1500	390.272	50.7113	0.794318	0	3	5	6	7	9	10	10	10	10	10	10
1550	618.555	44.1264	0.501168	0	3	5	6	7	9	9	10	10	10	10	10
1600	390.272	51.6797	0.794318	0	3	4	6	7	9	9	10	10	10	10	10
1650	618.555	54.048	0.501168	0	3	4	6	7	9	8	10	10	10	10	10
1700	390.272	72.2177	0.794318	0	3	3	6	7	9	8	10	10	10	10	10
1750	347.828	58.4611	0.891245	0	2	3	6	7	9	8	10	10	10	10	10
1800	347.828	52.6264	0.891245	0	1	3	6	7	9	8	10	10	10	10	10
1850	491.33	46.981	0.630941	0	1	3	6	6	9	8	10	10	10	10	10
1900	437.895	54.1982	0.707932	0	1	3	5	6	9	8	10	10	10	10	10
1950	390.272	47.6553	0.794318	0	1	2	5	6	9	8	10	10	10	10	10
2000	618.555	58.8485	0.501168	0	1	2	5	6	9	7	10	10	10	10	10
2050	347.828	54.3726	0.891245	0	0	2	5	6	9	7	10	10	10	10	10
2100	551.284	41.0662	0.562323	0	0	2	5	6	8	7	10	10	10	10	10
2150	437.895	50.6425	0.707932	0	0	2	4	6	8	7	10	10	10	10	10
2200	390.272	74.9726	0.794318	0	0	1	4	6	8	7	10	10	10	10	10
2250	310	55.931	1	0	1	2	5	7	9	8	11	11	11	11	11
2300	491.33	49.8524	0.630941	0	1	2	5	6	9	8	11	11	11	11	11
2350	551.284	58.4088	0.562323	0	1	2	5	6	8	8	11	11	11	11	11
2400	310	66.0525	1	0	2	3	6	7	9	9	12	12	12	12	12
2450	347.828	59.435	0.891245	0	1	3	6	7	9	9	12	12	12	12	12
2500	310	80.1812	1	0	2	4	7	8	10	10	13	13	13	13	13
2550	694.035	66.4715	0.446663	0	2	4	7	8	10	10	12	13	13	13	13
2600	310	58.9356	1	0	3	5	8	9	11	11	13	14	14	14	14
2650	390.272	44.912	0.794318	0	3	4	8	9	11	11	13	14	14	14	14
2700	437.895	61.6069	0.707932	0	3	4	7	9	11	11	13	14	14	14	14
2750	437.895	64.1323	0.707932	0	3	4	6	9	11	11	13	14	14	14	14
2800	491.33	64.3315	0.630941	0	3	4	6	8	11	11	13	14	14	14	14
2850	491.33	43.2111	0.630941	0	3	4	6	7	11	11	13	14	14	14	14
2900	551.284	57.0736	0.562323	0	3	4	6	7	10	11	13	14	14	14	14
2950	551.284	56.2512	0.562323	0	3	4	6	7	9	11	13	14	14	14	14
3000	347.828	65.6482	0.891245	0	2	4	6	7	9	11	13	14	14	14	14
3050	778.725	47.3362	0.398087	0	2	4	6	7	9	11	13	13	14	14	14
3100	873.75	53.7078	0.354793	0	2	4	6	7	9	11	13	13	13	14	14
3150	310	91.1556	1	0	3	5	7	8	10	12	14	14	14	15	15
3200	390.272	55.3506	0.794318	0	3	4	7	8	10	12	14	14	14	15	15
3250	694.035	58.0197	0.446663	0	3	4	7	8	10	12	13	14	14	15	15
3300	694.035	59.1456	0.446663	0	3	4	7	8	10	12	12	14	14	15	15
3350	551.284	61.357	0.562323	0	3	4	7	8	9	12	12	14	14	15	15
3400	778.725	46.7327	0.398087	0	3	4	7	8	9	12	12	13	14	15	15
3450	618.555	53.4857	0.501168	0	3	4	7	8	9	11	12	13	14	15	15
3500	347.828	67.6435	0.891245	0	2	4	7	8	9	11	12	13	14	15	15
3550	980.37	66.0378	0.316207	0	2	4	7	8	9	11	12	13	14	14	15
3600	390.272	61.9651	0.794318	0	2	3	7	8	9	11	12	13	14	14	15
3650	347.828	52.1759	0.891245	0	1	3	7	8	9	11	12	13	14	14	15
3700	873.75	48.6343	0.354793	0	1	3	7	8	9	11	12	13	13	14	15
3750	347.828	76.3068	0.891245	0	0	3	7	8	9	11	12	13	13	14	15
3800	694.035	54.7767	0.446663	0	0	3	7	8	9	11	11	13	13	14	15
3850	437.895	61.3303	0.707932	0	0	3	6	8	9	11	11	13	13	14	15
3900	618.555	61.5156	0.501168	0	0	3	6	8	9	10	11	13	13	14	15
3950	1100	54.0074	0.281818	0	0	3	6	8	9	10	11	13	13	14	14
4000	310	67.3202	1	0	1	4	7	9	10	11	12	14	14	15	15
4050	778.725	42.4712	0.398087	0	1	4	7	9	10	11	12	13	14	15	15
4100	310	68.5023	1	0	2	5	8	10	11	12	13	14	15	16	16
4150	873.75	51.306	0.354793	0	2	5	8	10	11	12	13	14	14	16	16
4200	491.33	70.7902	0.630941	0	2	5	8	9	11	12	13	14	14	16	16
4250	551.284	66.7067	0.562323	0	2	5	8	9	10	12	13	14	14	16	16
4300	980.37	56.2219	0.316207	0	2	5	8	9	10	12	13	14	14	15	16
4350	310	97.3854	1	0	3	6	9	10	11	13	14	15	15	16	17
4400	980.37	63.9159	0.316207	0	3	6	9	10	11	13	14	15	15	15	17
4450	390.272	76.6452	0.794318	0	3	5	9	10	11	13	14	15	15	15	17
4500	347.828	85.9691	0.891245	0	2	5	9	10	11	13	14	15	15	15	17
4550	873.75	48.8418	0.354793	0	2	5	9	10	11	13	14	15	14	15	17
4600	347.828	84.8609	0.891245	0	1	5	9	10	11	13	14	15	14	15	17
4650	618.555	54.2806	0.501168	0	1	5	9	10	11	12	14	15	14	15	17
4700	390.272	89.7745	0.794318	0	1	4	9	10	11	12	14	15	14	15	17
4750	618.555	45.0049	0.501168	0	1	4	9	10	11	11	14	15	14	15	17
4800	491.33	73.7059	0.630941	0	1	4	9	9	11	11	14	15	14	15	17
4850	437.895	73.3632	0.707932	0	1	4	8	9	11	11	14	15	14	15	17
4900	778.725	66.511	0.398087	0	1	4	8	9	11	11	14	14	14	15	17
4950	310	79.8262	1	0	2	5	9	10	12	12	15	15	15	16	18
5000	437.895	57.6656	0.707932	0	2	5	8	10	12	12	15	15	15	16	18
5050	694.035	52.0144	0.446663	0	2	5	8	10	12	12	14	15	15	16	18
5100	551.284	72.3946	0.562323	0	2	5	8	10	11	12	14	15	15	16	18
5150	437.895	65.2721	0.707932	0	2	5	7	10	11	12	14	15	15	16	18
5200	491.33	46.5603	0.630941	0	2	5	7	9	11	12	14	15	15	16	18
5250	551.284	55.4515	0.562323	0	2	5	7	9	10	12	14	15	15	16	18
5300	618.555	63.9549	0.501168	0	2	5	7	9	10	11	14	15	15	16	18
5350	618.555	63.461	0.501168	0	2	5	7	9	10	10	14	15	15	16	18
5400	551.284	64.2698	0.562323	0	2	5	7	9	9	10	14	15	15	16	18
5450	390.272	51.099	0.794318	0	2	4	7	9	9	10	14	15	15	16	18
5500	437.895	52.2933	0.707932	0	2	4	6	9	9	10	14	15	15	16	18
5550	778.725	64.3416	0.398087	0	2	4	6	9	9	10	14	14	15	16	18
5600	310	72.139	1	0	3	5	7	10	10	11	15	15	16	17	19
5650	491.33	55.2773	0.630941	0	3	5	7	9	10	11	15	15	16	17	19
5700	310	63.7316	1	0	4	6	8	10	11	12	16	16	17	18	20
5750	1100	46.7486	0.281818	0	4	6	8	10	11	12	16	16	17	18	19
