#"Step","Potential Energy (kJ/mole)","Density (g/mL)","Speed (ns/day)","Time Remaining"
300000,-86.98849487304688,0.02992547106902703,0,--
350000,-123.65725708007812,0.02992547106902703,2.35e+03,5:06:09
400000,-141.0196533203125,0.02992547106902703,2.47e+03,4:51:06
450000,-84.21194458007812,0.02992547106902703,2.52e+03,4:45:29
500000,-109.8421630859375,0.02992547106902703,2.55e+03,4:42:24
550000,-114.89828491210938,0.02992547106902703,2.56e+03,4:40:33
600000,-103.17025756835938,0.02992547106902703,2.57e+03,4:40:01
650000,-109.01156616210938,0.02992547106902703,2.58e+03,4:39:01
700000,-141.57742309570312,0.02992547106902703,2.58e+03,4:38:15
750000,-148.15725708007812,0.02992547106902703,2.59e+03,4:37:39
800000,-115.83062744140625,0.02992547106902703,2.59e+03,4:37:52
850000,-121.81695556640625,0.02992547106902703,2.59e+03,4:37:27
900000,-82.9298095703125,0.02992547106902703,2.59e+03,4:36:56
950000,-107.06842041015625,0.02992547106902703,2.6e+03,4:36:29
1000000,-125.12738037109375,0.02992547106902703,2.6e+03,4:36:04
1050000,-126.15692138671875,0.02992547106902703,2.6e+03,4:35:42
1100000,-105.14703369140625,0.02992547106902703,2.61e+03,4:35:23
1150000,-123.77841186523438,0.02992547106902703,2.61e+03,4:35:07
1200000,-118.54037475585938,0.02992547106902703,2.61e+03,4:34:52
1250000,-130.8575439453125,0.02992547106902703,2.61e+03,4:34:39
1300000,-131.6019287109375,0.02992547106902703,2.61e+03,4:34:34
1350000,-139.45208740234375,0.02992547106902703,2.61e+03,4:34:48
1400000,-97.44976806640625,0.02992547106902703,2.61e+03,4:34:37
1450000,-98.94989013671875,0.02992547106902703,2.61e+03,4:34:27
1500000,-132.482177734375,0.02992547106902703,2.61e+03,4:34:16
1550000,-121.61105346679688,0.02992547106902703,2.61e+03,4:34:07
1600000,-96.04022216796875,0.02992547106902703,2.61e+03,4:34:00
1650000,-74.74282836914062,0.02992547106902703,2.61e+03,4:34:00
1700000,-88.840087890625,0.02992547106902703,2.61e+03,4:33:53
1750000,-124.24468994140625,0.02992547106902703,2.61e+03,4:33:44
1800000,-133.526123046875,0.02992547106902703,2.61e+03,4:33:52
1850000,-117.2864990234375,0.02992547106902703,2.61e+03,4:33:42
1900000,-149.71002197265625,0.02992547106902703,2.61e+03,4:33:34
1950000,-90.4111328125,0.02992547106902703,2.62e+03,4:33:26
2000000,-121.90789794921875,0.02992547106902703,2.62e+03,4:33:18
2050000,-123.93850708007812,0.02992547106902703,2.62e+03,4:33:10
2100000,-110.86773681640625,0.02992547106902703,2.62e+03,4:33:03
2150000,-118.82284545898438,0.02992547106902703,2.62e+03,4:32:56
2200000,-119.23666381835938,0.02992547106902703,2.62e+03,4:32:49
2250000,-123.45111083984375,0.02992547106902703,2.62e+03,4:32:54
