"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"298K Weight"	"386.47K Weight"	"501.204K Weight"	"650K Weight"
50	650	84.8953	0.458462	0	0	0	0
100	650	84.69	0.458462	0	0	0	0
150	650	89.4667	0.458462	0	0	0	0
200	650	82.4633	0.458462	0	0	0	0
250	650	87.887	0.458462	0	0	0	-1
300	650	91.2229	0.458462	0	0	0	-1
350	650	83.8862	0.458462	0	0	0	-1
400	650	87.8962	0.458462	0	0	0	-1
450	650	95.631	0.458462	0	0	0	-1
500	650	93.764	0.458462	0	0	0	-3
550	650	97.2432	0.458462	0	0	0	-3
600	650	94.7106	0.458462	0	0	0	-3
650	650	110.523	0.458462	0	0	0	-3
700	650	106.404	0.458462	0	0	0	-3
750	650	105.175	0.458462	0	0	0	-5
800	650	116.196	0.458462	0	0	0	-5
850	650	104.452	0.458462	0	0	0	-5
900	650	120.708	0.458462	0	0	0	-5
950	650	95.3128	0.458462	0	0	0	-5
1000	501.204	83.5767	0.594569	0	0	-2	-5
1050	501.204	77.3258	0.594569	0	0	-2	-5
1100	501.204	85.5084	0.594569	0	0	-2	-5
1150	501.204	82.6478	0.594569	0	0	-2	-5
1200	501.204	74.293	0.594569	0	0	-2	-5
1250	650	99.8246	0.458462	0	0	-2	-7
1300	650	128.231	0.458462	0	0	-2	-7
1350	650	120.289	0.458462	0	0	-2	-7
1400	650	179.377	0.458462	0	0	-2	-7
1450	650	102.1	0.458462	0	0	-2	-7
1500	650	125.719	0.458462	0	0	-2	-9
1550	650	109.066	0.458462	0	0	-2	-9
1600	650	97.4335	0.458462	0	0	-2	-9
1650	650	129.832	0.458462	0	0	-2	-9
1700	650	114.863	0.458462	0	0	-2	-9
1750	650	136.359	0.458462	0	0	-2	-11
1800	650	182.646	0.458462	0	0	-2	-11
1850	650	127.271	0.458462	0	0	-2	-11
1900	650	128.125	0.458462	0	0	-2	-11
1950	650	122.763	0.458462	0	0	-2	-11
2000	650	132.138	0.458462	0	0	-2	-13
2050	650	136.384	0.458462	0	0	-2	-13
2100	650	127.359	0.458462	0	0	-2	-13
2150	650	166.338	0.458462	0	0	-2	-13
2200	650	127.395	0.458462	0	0	-2	-13
2250	501.204	109.749	0.594569	0	0	-4	-13
2300	501.204	72.2	0.594569	0	0	-4	-13
2350	501.204	118.003	0.594569	0	0	-4	-13
2400	501.204	107.031	0.594569	0	0	-4	-13
2450	501.204	79.8793	0.594569	0	0	-4	-13
2500	501.204	124.351	0.594569	0	0	-6	-13
2550	501.204	95.2117	0.594569	0	0	-6	-13
2600	501.204	81.5756	0.594569	0	0	-6	-13
2650	501.204	80.8129	0.594569	0	0	-6	-13
2700	501.204	81.1052	0.594569	0	0	-6	-13
2750	501.204	73.2019	0.594569	0	0	-8	-13
2800	501.204	89.0733	0.594569	0	0	-8	-13
2850	501.204	76.2451	0.594569	0	0	-8	-13
2900	501.204	68.0443	0.594569	0	0	-8	-13
2950	501.204	70.9203	0.594569	0	0	-8	-13
3000	386.47	70.7655	0.771083	0	-2	-8	-13
3050	386.47	65.6897	0.771083	0	-2	-8	-13
3100	386.47	64.5531	0.771083	0	-2	-8	-13
3150	386.47	57.4876	0.771083	0	-2	-8	-13
3200	386.47	53.2388	0.771083	0	-2	-8	-13
3250	386.47	59.5644	0.771083	0	-4	-8	-13
3300	386.47	61.331	0.771083	0	-4	-8	-13
3350	386.47	59.6511	0.771083	0	-4	-8	-13
3400	386.47	67.1511	0.771083	0	-4	-8	-13
3450	386.47	77.2701	0.771083	0	-4	-8	-13
3500	501.204	97.1347	0.594569	0	-4	-10	-13
3550	501.204	90.3975	0.594569	0	-4	-10	-13
3600	501.204	75.4359	0.594569	0	-4	-10	-13
3650	501.204	75.6923	0.594569	0	-4	-10	-13
3700	501.204	91.3673	0.594569	0	-4	-10	-13
3750	501.204	100.284	0.594569	0	-4	-12	-13
3800	501.204	97.7123	0.594569	0	-4	-12	-13
3850	501.204	80.8575	0.594569	0	-4	-12	-13
3900	501.204	105.014	0.594569	0	-4	-12	-13
3950	501.204	97.7462	0.594569	0	-4	-12	-13
4000	650	114.977	0.458462	0	-4	-12	-15
4050	650	108.554	0.458462	0	-4	-12	-15
4100	650	135.351	0.458462	0	-4	-12	-15
4150	650	142.572	0.458462	0	-4	-12	-15
4200	650	119.048	0.458462	0	-4	-12	-15
4250	650	127.815	0.458462	0	-4	-12	-17
4300	650	117.075	0.458462	0	-4	-12	-17
4350	650	147.699	0.458462	0	-4	-12	-17
4400	650	129.017	0.458462	0	-4	-12	-17
4450	650	153.597	0.458462	0	-4	-12	-17
4500	650	129.871	0.458462	0	-4	-12	-19
4550	650	108.487	0.458462	0	-4	-12	-19
4600	650	148.034	0.458462	0	-4	-12	-19
4650	650	122.897	0.458462	0	-4	-12	-19
4700	650	163.6	0.458462	0	-4	-12	-19
4750	650	123.702	0.458462	0	-4	-12	-21
4800	650	87.2193	0.458462	0	-4	-12	-21
4850	650	141.996	0.458462	0	-4	-12	-21
4900	650	119.593	0.458462	0	-4	-12	-21
4950	650	118.868	0.458462	0	-4	-12	-21
5000	386.47	60.5764	0.771083	0	-6	-12	-21
5050	386.47	66.6342	0.771083	0	-6	-12	-21
5100	386.47	56.1376	0.771083	0	-6	-12	-21
5150	386.47	70.4586	0.771083	0	-6	-12	-21
5200	386.47	74.0694	0.771083	0	-6	-12	-21
5250	386.47	70.1776	0.771083	0	-8	-12	-21
5300	386.47	66.476	0.771083	0	-8	-12	-21
5350	386.47	69.4785	0.771083	0	-8	-12	-21
5400	386.47	71.1293	0.771083	0	-8	-12	-21
5450	386.47	74.5904	0.771083	0	-8	-12	-21
5500	501.204	101.578	0.594569	0	-8	-14	-21
5550	501.204	98.6848	0.594569	0	-8	-14	-21
5600	501.204	87.4626	0.594569	0	-8	-14	-21
5650	501.204	82.4652	0.594569	0	-8	-14	-21
5700	501.204	96.53	0.594569	0	-8	-14	-21
5750	386.47	71.5834	0.771083	0	-10	-14	-21
5800	386.47	76.1383	0.771083	0	-10	-14	-21
5850	386.47	63.1737	0.771083	0	-10	-14	-21
5900	386.47	68.0593	0.771083	0	-10	-14	-21
5950	386.47	62.448	0.771083	0	-10	-14	-21
6000	298	49.3026	1	0	-8	-12	-19
6050	298	53.322	1	0	-8	-12	-19
6100	298	51.7371	1	0	-8	-12	-19
