#"Step","Potential Energy (kJ/mole)","Density (g/mL)","Speed (ns/day)","Time Remaining"
10000,-90.32493175629104,0.02992547106902703,0,--
20000,-97.76028359710796,0.02992547106902703,737,0:42
30000,-114.06385981742969,0.02992547106902703,751,0:39
40000,-82.27503011499697,0.02992547106902703,759,0:36
50000,-90.88541261446741,0.02992547106902703,765,0:33
60000,-80.76651076229227,0.02992547106902703,763,0:31
70000,-97.79712799470573,0.02992547106902703,761,0:29
80000,-78.42325636702623,0.02992547106902703,764,0:27
90000,-97.36411504946423,0.02992547106902703,765,0:24
100000,-118.62022216832614,0.02992547106902703,765,0:22
110000,-108.50612938275121,0.02992547106902703,762,0:20
120000,-60.40487785422619,0.02992547106902703,761,0:18
130000,-68.03451945189141,0.02992547106902703,761,0:15
140000,-65.91908405055511,0.02992547106902703,760,0:13
150000,-38.35335601725616,0.02992547106902703,760,0:11
160000,-82.07037055220832,0.02992547106902703,758,0:09
170000,-101.11129700333338,0.02992547106902703,759,0:06
180000,-86.45672509678877,0.02992547106902703,757,0:04
190000,-79.79238521295434,0.02992547106902703,758,0:02
200000,-85.62516041948783,0.02992547106902703,759,0:00
