#"Step","Potential Energy (kJ/mole)","Density (g/mL)","Speed (ns/day)","Time Remaining"
50000,-99.274169921875,0.02992547106902703,0,--
100000,-106.39279174804688,0.02992547106902703,2.81e+03,4:15:42
150000,-116.33547973632812,0.02992547106902703,2.82e+03,4:15:34
200000,-114.20932006835938,0.02992547106902703,2.82e+03,4:15:28
250000,-109.806884765625,0.02992547106902703,2.81e+03,4:15:49
300000,-82.62298583984375,0.02992547106902703,2.81e+03,4:15:57
350000,-91.09384155273438,0.02992547106902703,2.81e+03,4:15:56
400000,-85.70046997070312,0.02992547106902703,2.81e+03,4:15:48
450000,-84.58676147460938,0.02992547106902703,2.81e+03,4:15:40
500000,-115.3065185546875,0.02992547106902703,2.81e+03,4:15:39
550000,-103.98049926757812,0.02992547106902703,2.81e+03,4:15:39
600000,-102.8360595703125,0.02992547106902703,2.81e+03,4:15:38
650000,-107.51675415039062,0.02992547106902703,2.81e+03,4:15:33
700000,-134.606201171875,0.02992547106902703,2.81e+03,4:15:29
750000,-91.5970458984375,0.02992547106902703,2.81e+03,4:15:25
800000,-119.63046264648438,0.02992547106902703,2.81e+03,4:15:21
850000,-116.70095825195312,0.02992547106902703,2.81e+03,4:15:17
900000,-77.56536865234375,0.02992547106902703,2.81e+03,4:15:14
950000,-130.5296630859375,0.02992547106902703,2.81e+03,4:15:12
1000000,-130.68072509765625,0.02992547106902703,2.81e+03,4:15:25
1050000,-91.8819580078125,0.02992547106902703,2.81e+03,4:15:36
1100000,-102.98800659179688,0.02992547106902703,2.8e+03,4:15:40
1150000,-117.01153564453125,0.02992547106902703,2.8e+03,4:15:49
1200000,-110.62451171875,0.02992547106902703,2.8e+03,4:15:54
1250000,-117.9189453125,0.02992547106902703,2.8e+03,4:15:52
1300000,-94.92910766601562,0.02992547106902703,2.8e+03,4:15:50
1350000,-121.35684204101562,0.02992547106902703,2.8e+03,4:15:47
1400000,-126.33309936523438,0.02992547106902703,2.8e+03,4:15:44
1450000,-125.68405151367188,0.02992547106902703,2.8e+03,4:15:44
1500000,-115.4854736328125,0.02992547106902703,2.8e+03,4:15:43
1550000,-133.21713256835938,0.02992547106902703,2.8e+03,4:15:41
1600000,-89.18145751953125,0.02992547106902703,2.8e+03,4:15:37
1650000,-119.72775268554688,0.02992547106902703,2.8e+03,4:15:31
1700000,-114.59011840820312,0.02992547106902703,2.8e+03,4:15:27
1750000,-114.09127807617188,0.02992547106902703,2.8e+03,4:15:28
1800000,-106.16751098632812,0.02992547106902703,2.8e+03,4:15:25
1850000,-117.3929443359375,0.02992547106902703,2.8e+03,4:15:22
1900000,-127.64010620117188,0.02992547106902703,2.8e+03,4:15:19
1950000,-116.36300659179688,0.02992547106902703,2.8e+03,4:15:17
2000000,-116.28274536132812,0.02992547106902703,2.8e+03,4:15:15
