"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"300K Weight"	"340.866K Weight"	"387.298K Weight"	"440.056K Weight"	"500K Weight"
879000	387.298	53.7506	0.774597	0	2.8606	5.1438	7.12158	8.95715
879500	387.298	54.2854	0.774597	0	2.8606	5.1438	7.12158	8.95715
880000	300	61.8925	1	0	2.8606	5.1438	7.12158	8.95715
880500	500	45.9037	0.6	0	2.8606	5.1438	7.12158	8.95715
881000	387.298	69.9317	0.774597	0	2.8606	5.1438	7.12158	8.95715
881500	340.866	55.1677	0.880112	0	2.8606	5.1438	7.12158	8.95715
882000	300	69.665	1	0	2.8606	5.1438	7.12158	8.95715
882500	500	57.6414	0.6	0	2.8606	5.1438	7.12158	8.95715
883000	387.298	62.4697	0.774597	0	2.8606	5.1438	7.12158	8.95715
883500	387.298	50.3605	0.774597	0	2.8606	5.1438	7.12158	8.95715
884000	387.298	50.7913	0.774597	0	2.8606	5.1438	7.12158	8.95715
884500	500	44.3499	0.6	0	2.8606	5.1438	7.12158	8.95715
885000	440.056	60.8508	0.681732	0	2.8606	5.1438	7.12158	8.95715
885500	440.056	67.6822	0.681732	0	2.8606	5.1438	7.12158	8.95715
886000	500	59.4107	0.6	0	2.8606	5.1438	7.12158	8.95715
886500	340.866	54.5666	0.880112	0	2.8606	5.1438	7.12158	8.95715
887000	340.866	54.8282	0.880112	0	2.8606	5.1438	7.12158	8.95715
887500	387.298	47.7911	0.774597	0	2.8606	5.1438	7.12158	8.95715
888000	340.866	72.5968	0.880112	0	2.8606	5.1438	7.12158	8.95715
888500	500	56.0754	0.6	0	2.8606	5.1438	7.12158	8.95715
889000	440.056	66.0876	0.681732	0	2.8606	5.1438	7.12158	8.95715
889500	340.866	52.8344	0.880112	0	2.8606	5.1438	7.12158	8.95715
890000	340.866	57.2617	0.880112	0	2.8606	5.1438	7.12158	8.95715
890500	387.298	61.2361	0.774597	0	2.8606	5.1438	7.12158	8.95715
891000	387.298	49.1282	0.774597	0	2.8606	5.1438	7.12158	8.95715
891500	300	52.6319	1	0	2.8606	5.1438	7.12158	8.95715
892000	387.298	45.6806	0.774597	0	2.8606	5.1438	7.12158	8.95715
892500	300	64.172	1	0	2.8606	5.1438	7.12158	8.95715
893000	500	49.6739	0.6	0	2.8606	5.1438	7.12158	8.95715
893500	387.298	44.0859	0.774597	0	2.8606	5.1438	7.12158	8.95715
894000	300	46.4348	1	0	2.8606	5.1438	7.12158	8.95715
894500	440.056	45.7549	0.681732	0	2.8606	5.1438	7.12158	8.95715
895000	300	56.5119	1	0	2.8606	5.1438	7.12158	8.95715
895500	300	56.7154	1	0	2.8606	5.1438	7.12158	8.95715
896000	500	48.1083	0.6	0	2.8606	5.1438	7.12158	8.95715
896500	300	67.1614	1	0	2.8606	5.1438	7.12158	8.95715
897000	300	56.127	1	0	2.8606	5.1438	7.12158	8.95715
897500	440.056	45.3701	0.681732	0	2.8606	5.1438	7.12158	8.95715
898000	440.056	57.8405	0.681732	0	2.8606	5.1438	7.12158	8.95715
898500	387.298	55.7423	0.774597	0	2.8606	5.1438	7.12158	8.95715
899000	440.056	51.0645	0.681732	0	2.8606	5.1438	7.12158	8.95715
899500	340.866	64.8658	0.880112	0	2.8606	5.1438	7.12158	8.95715
900000	387.298	54.2763	0.774597	0	2.8606	5.1438	7.12158	8.95715
900500	300	51.6672	1	0	2.8606	5.1438	7.12158	8.95715
901000	300	52.6128	1	0	2.8606	5.1438	7.12158	8.95715
901500	300	46.0012	1	0	2.8606	5.1438	7.12158	8.95715
902000	340.866	51.0466	0.880112	0	2.8606	5.1438	7.12158	8.95715
