"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"300K Weight"	"340.866K Weight"	"387.298K Weight"	"440.056K Weight"	"500K Weight"
50	300	45.4621	1	0	0	0	0	0
100	300	50.3615	1	0	0	0	0	0
150	300	42.6601	1	0	0	0	0	0
200	300	40.8863	1	0	0	0	0	0
250	300	37.3441	1	0	0	0	0	0
300	300	46.4274	1	0	0	0	0	0
350	300	40.5313	1	0	0	0	0	0
400	300	48.611	1	0	0	0	0	0
450	300	46.5792	1	0	0	0	0	0
500	300	46.8762	1	0	1	1	1	1
550	300	44.5734	1	0	1	1	1	1
600	300	42.2022	1	0	1	1	1	1
650	300	51.569	1	0	1	1	1	1
700	300	50.2832	1	0	1	1	1	1
750	300	47.0695	1	0	1	1	1	1
800	300	48.3574	1	0	1	1	1	1
850	300	39.9116	1	0	1	1	1	1
900	300	38.3637	1	0	1	1	1	1
950	300	46.189	1	0	1	1	1	1
1000	300	43.6	1	0	2	2	2	2
1050	300	42.7782	1	0	2	2	2	2
1100	300	45.0813	1	0	2	2	2	2
1150	300	43.1671	1	0	2	2	2	2
1200	300	44.4181	1	0	2	2	2	2
1250	300	51.4426	1	0	2	2	2	2
1300	300	45.5859	1	0	2	2	2	2
1350	300	45.8054	1	0	2	2	2	2
1400	300	40.4995	1	0	2	2	2	2
1450	300	42.7585	1	0	2	2	2	2
1500	340.866	45.1101	0.880112	0	1	2	2	2
1550	340.866	44.4991	0.880112	0	1	2	2	2
1600	340.866	47.4715	0.880112	0	1	2	2	2
1650	340.866	45.1668	0.880112	0	1	2	2	2
1700	340.866	58.653	0.880112	0	1	2	2	2
1750	340.866	44.8116	0.880112	0	1	2	2	2
1800	340.866	40.8008	0.880112	0	1	2	2	2
1850	340.866	44.1192	0.880112	0	1	2	2	2
1900	340.866	46.0811	0.880112	0	1	2	2	2
1950	340.866	51.7786	0.880112	0	1	2	2	2
2000	387.298	55.6705	0.774597	0	1	1	2	2
2050	387.298	56.096	0.774597	0	1	1	2	2
2100	387.298	50.4216	0.774597	0	1	1	2	2
2150	387.298	60.9858	0.774597	0	1	1	2	2
2200	387.298	65.3605	0.774597	0	1	1	2	2
2250	387.298	47.7306	0.774597	0	1	1	2	2
2300	387.298	52.1605	0.774597	0	1	1	2	2
2350	387.298	51.8253	0.774597	0	1	1	2	2
2400	387.298	50.8551	0.774597	0	1	1	2	2
2450	387.298	51.4691	0.774597	0	1	1	2	2
2500	300	51.9491	1	0	2	2	3	3
2550	300	51.6376	1	0	2	2	3	3
2600	300	48.1031	1	0	2	2	3	3
2650	300	42.7137	1	0	2	2	3	3
2700	300	44.8617	1	0	2	2	3	3
2750	300	51.3671	1	0	2	2	3	3
2800	300	40.7613	1	0	2	2	3	3
2850	300	42.4143	1	0	2	2	3	3
2900	300	42.9695	1	0	2	2	3	3
2950	300	41.9499	1	0	2	2	3	3
3000	340.866	43.2445	0.880112	0	1	2	3	3
3050	340.866	44.8448	0.880112	0	1	2	3	3
3100	340.866	46.5826	0.880112	0	1	2	3	3
3150	340.866	46.7686	0.880112	0	1	2	3	3
3200	340.866	44.2807	0.880112	0	1	2	3	3
3250	340.866	52.0528	0.880112	0	1	2	3	3
3300	340.866	47.3757	0.880112	0	1	2	3	3
3350	340.866	53.2686	0.880112	0	1	2	3	3
3400	340.866	43.0767	0.880112	0	1	2	3	3
3450	340.866	54.7475	0.880112	0	1	2	3	3
3500	300	45.4686	1	0	2	3	4	4
3550	300	54.9124	1	0	2	3	4	4
3600	300	48.8155	1	0	2	3	4	4
3650	300	52.0798	1	0	2	3	4	4
3700	300	42.6155	1	0	2	3	4	4
3750	300	51.721	1	0	2	3	4	4
3800	300	52.4646	1	0	2	3	4	4
3850	300	45.4377	1	0	2	3	4	4
3900	300	42.5652	1	0	2	3	4	4
3950	300	41.8367	1	0	2	3	4	4
4000	300	48.358	1	0	3	4	5	5
4050	300	49.4048	1	0	3	4	5	5
4100	300	47.8653	1	0	3	4	5	5
4150	300	46.0209	1	0	3	4	5	5
4200	300	54.2461	1	0	3	4	5	5
4250	300	49.585	1	0	3	4	5	5
4300	300	41.2986	1	0	3	4	5	5
4350	300	43.8929	1	0	3	4	5	5
4400	300	44.4318	1	0	3	4	5	5
4450	300	44.0745	1	0	3	4	5	5
4500	387.298	41.1234	0.774597	0	3	3	5	5
4550	387.298	70.3579	0.774597	0	3	3	5	5
4600	387.298	40.5789	0.774597	0	3	3	5	5
4650	387.298	45.2918	0.774597	0	3	3	5	5
4700	387.298	56.7895	0.774597	0	3	3	5	5
4750	387.298	51.765	0.774597	0	3	3	5	5
4800	387.298	54.1016	0.774597	0	3	3	5	5
4850	387.298	46.4923	0.774597	0	3	3	5	5
4900	387.298	52.7247	0.774597	0	3	3	5	5
4950	387.298	52.4898	0.774597	0	3	3	5	5
5000	440.056	42.0613	0.681732	0	3	3	4	5
5050	440.056	51.0904	0.681732	0	3	3	4	5
5100	440.056	59.933	0.681732	0	3	3	4	5
5150	440.056	66.6367	0.681732	0	3	3	4	5
5200	440.056	69.1241	0.681732	0	3	3	4	5
5250	440.056	52.1542	0.681732	0	3	3	4	5
5300	440.056	63.3444	0.681732	0	3	3	4	5
5350	440.056	55.08	0.681732	0	3	3	4	5
5400	440.056	68.1618	0.681732	0	3	3	4	5
5450	440.056	52.5696	0.681732	0	3	3	4	5
5500	340.866	59.893	0.880112	0	2	3	4	5
5550	340.866	57.2318	0.880112	0	2	3	4	5
5600	340.866	58.7727	0.880112	0	2	3	4	5
5650	340.866	65.2221	0.880112	0	2	3	4	5
5700	340.866	66.2414	0.880112	0	2	3	4	5
5750	340.866	61.2481	0.880112	0	2	3	4	5
5800	340.866	47.4571	0.880112	0	2	3	4	5
5850	340.866	54.7131	0.880112	0	2	3	4	5
5900	340.866	49.1908	0.880112	0	2	3	4	5
5950	340.866	48.6686	0.880112	0	2	3	4	5
6000	340.866	54.5373	0.880112	0	1	3	4	5
6050	340.866	47.282	0.880112	0	1	3	4	5
6100	340.866	57.8133	0.880112	0	1	3	4	5
6150	340.866	56.6387	0.880112	0	1	3	4	5
6200	340.866	53.8653	0.880112	0	1	3	4	5
6250	340.866	70.3793	0.880112	0	1	3	4	5
6300	340.866	56.6391	0.880112	0	1	3	4	5
6350	340.866	48.5879	0.880112	0	1	3	4	5
6400	340.866	52.9184	0.880112	0	1	3	4	5
6450	340.866	53.9738	0.880112	0	1	3	4	5
6500	300	55.1404	1	0	2	4	5	6
6550	300	50.2067	1	0	2	4	5	6
6600	300	60.0448	1	0	2	4	5	6
6650	300	53.3343	1	0	2	4	5	6
6700	300	55.7242	1	0	2	4	5	6
6750	300	57.5097	1	0	2	4	5	6
6800	300	57.0579	1	0	2	4	5	6
6850	300	47.402	1	0	2	4	5	6
6900	300	54.621	1	0	2	4	5	6
6950	300	44.8585	1	0	2	4	5	6
7000	300	55.5483	1	0	3	5	6	7
