"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"359.478K Weight"	"416.852K Weight"	"483.384K Weight"	"560.535K Weight"	"650K Weight"
100	310	2424.69	1	0	0	0	0	0	0
200	310	2425.25	1	0	0	0	0	0	0
300	310	2444.85	1	0	0	0	0	0	0
400	310	2504.66	1	0	0	0	0	0	0
500	310	2476.16	1	0	1	1	1	1	1
600	310	2529.18	1	0	1	1	1	1	1
700	310	2505.84	1	0	1	1	1	1	1
800	310	2494.82	1	0	1	1	1	1	1
900	310	2577.09	1	0	1	1	1	1	1
1000	310	2529.3	1	0	3	3	3	3	3
1100	310	2543.67	1	0	3	3	3	3	3
1200	310	2551.02	1	0	3	3	3	3	3
1300	310	2571.43	1	0	3	3	3	3	3
1400	310	2590.92	1	0	3	3	3	3	3
1500	310	2587.21	1	0	7	7	7	7	7
1600	310	2529.84	1	0	7	7	7	7	7
1700	310	2553.63	1	0	7	7	7	7	7
1800	310	2563.85	1	0	7	7	7	7	7
1900	310	2577.91	1	0	7	7	7	7	7
2000	310	2538.25	1	0	15	15	15	15	15
2100	310	2539.93	1	0	15	15	15	15	15
2200	310	2488.94	1	0	15	15	15	15	15
2300	310	2461.65	1	0	15	15	15	15	15
2400	310	2528.4	1	0	15	15	15	15	15
2500	310	2510.17	1	0	31	31	31	31	31
2600	310	2579.98	1	0	31	31	31	31	31
2700	310	2593.2	1	0	31	31	31	31	31
2800	310	2597.68	1	0	31	31	31	31	31
2900	310	2486.57	1	0	31	31	31	31	31
3000	310	2538.05	1	0	63	63	63	63	63
3100	310	2618.77	1	0	63	63	63	63	63
3200	310	2595.15	1	0	63	63	63	63	63
3300	310	2508.14	1	0	63	63	63	63	63
3400	310	2519.15	1	0	63	63	63	63	63
3500	310	2483.89	1	0	127	127	127	127	127
3600	310	2530.21	1	0	127	127	127	127	127
3700	310	2575.54	1	0	127	127	127	127	127
3800	310	2541.83	1	0	127	127	127	127	127
3900	310	2538.93	1	0	127	127	127	127	127
4000	310	2499.33	1	0	255	255	255	255	255
4100	310	2511.91	1	0	255	255	255	255	255
4200	310	2539.75	1	0	255	255	255	255	255
4300	310	2524.28	1	0	255	255	255	255	255
4400	310	2505.03	1	0	255	255	255	255	255
4500	359.478	2543.86	0.862362	0	-1	255	255	255	255
4600	359.478	2721.87	0.862362	0	-1	255	255	255	255
4700	359.478	2633.54	0.862362	0	-1	255	255	255	255
4800	359.478	2664.66	0.862362	0	-1	255	255	255	255
4900	359.478	2668.79	0.862362	0	-1	255	255	255	255
5000	310	2682.17	1	0	255	511	511	511	511
5100	310	2575.26	1	0	255	511	511	511	511
5200	310	2506.02	1	0	255	511	511	511	511
5300	310	2500.12	1	0	255	511	511	511	511
5400	310	2561.66	1	0	255	511	511	511	511
5500	416.852	2571.3	0.743668	0	255	255	511	511	511
5600	416.852	2660.92	0.743668	0	255	255	511	511	511
5700	416.852	2667.43	0.743668	0	255	255	511	511	511
5800	416.852	2726.67	0.743668	0	255	255	511	511	511
5900	416.852	2685.04	0.743668	0	255	255	511	511	511
6000	483.384	2697.97	0.641311	0	255	255	255	511	511
6100	483.384	2826.24	0.641311	0	255	255	255	511	511
6200	483.384	2745.73	0.641311	0	255	255	255	511	511
6300	483.384	2827.43	0.641311	0	255	255	255	511	511
6400	483.384	2861.76	0.641311	0	255	255	255	511	511
6500	359.478	2907.71	0.862362	0	-1	255	255	511	511
6600	359.478	2639.16	0.862362	0	-1	255	255	511	511
6700	359.478	2600.02	0.862362	0	-1	255	255	511	511
6800	359.478	2632.65	0.862362	0	-1	255	255	511	511
6900	359.478	2667.03	0.862362	0	-1	255	255	511	511
7000	560.535	2641.85	0.553043	0	-1	255	255	255	511
7100	560.535	2973.7	0.553043	0	-1	255	255	255	511
7200	560.535	2998.85	0.553043	0	-1	255	255	255	511
7300	560.535	2884.91	0.553043	0	-1	255	255	255	511
7400	560.535	2875.11	0.553043	0	-1	255	255	255	511
7500	310	2903.83	1	0	255	511	511	511	767
7600	310	2616.34	1	0	255	511	511	511	767
7700	310	2578.71	1	0	255	511	511	511	767
7800	310	2548.02	1	0	255	511	511	511	767
7900	310	2522.36	1	0	255	511	511	511	767
8000	416.852	2658.79	0.743668	0	255	255	511	511	767
8100	416.852	2651.24	0.743668	0	255	255	511	511	767
8200	416.852	2799.35	0.743668	0	255	255	511	511	767
8300	416.852	2852.69	0.743668	0	255	255	511	511	767
8400	416.852	2757.91	0.743668	0	255	255	511	511	767
8500	650	2770.23	0.476923	0	255	255	511	511	511
8600	650	3138.56	0.476923	0	255	255	511	511	511
8700	650	2989.62	0.476923	0	255	255	511	511	511
8800	650	3094.46	0.476923	0	255	255	511	511	511
8900	650	3039.72	0.476923	0	255	255	511	511	511
9000	359.478	3110.1	0.862362	0	-1	255	511	511	511
9100	359.478	2721.62	0.862362	0	-1	255	511	511	511
9200	359.478	2707.92	0.862362	0	-1	255	511	511	511
9300	359.478	2611.61	0.862362	0	-1	255	511	511	511
9400	359.478	2629.4	0.862362	0	-1	255	511	511	511
9500	483.384	2686.39	0.641311	0	-1	255	255	511	511
9600	483.384	2817.58	0.641311	0	-1	255	255	511	511
9700	483.384	2908.3	0.641311	0	-1	255	255	511	511
9800	483.384	2960.29	0.641311	0	-1	255	255	511	511
9900	483.384	2865.55	0.641311	0	-1	255	255	511	511
10000	560.535	2837.06	0.553043	0	-1	255	255	255	511
10100	560.535	2979.34	0.553043	0	-1	255	255	255	511
10200	560.535	2947.09	0.553043	0	-1	255	255	255	511
10300	560.535	2976.98	0.553043	0	-1	255	255	255	511
10400	560.535	2992.55	0.553043	0	-1	255	255	255	511
10500	310	2963.9	1	0	255	511	511	511	767
10600	310	2565.58	1	0	255	511	511	511	767
10700	310	2521.63	1	0	255	511	511	511	767
10800	310	2548.45	1	0	255	511	511	511	767
10900	310	2543.35	1	0	255	511	511	511	767
11000	416.852	2556.3	0.743668	0	255	255	511	511	767
11100	416.852	2771.17	0.743668	0	255	255	511	511	767
11200	416.852	2763.32	0.743668	0	255	255	511	511	767
11300	416.852	2729.52	0.743668	0	255	255	511	511	767
11400	416.852	2725.34	0.743668	0	255	255	511	511	767
11500	650	2731.13	0.476923	0	255	255	511	511	511
11600	650	2999.94	0.476923	0	255	255	511	511	511
11700	650	3080.52	0.476923	0	255	255	511	511	511
11800	650	3044.12	0.476923	0	255	255	511	511	511
11900	650	3024.41	0.476923	0	255	255	511	511	511
12000	359.478	3149.23	0.862362	0	-1	255	511	511	511
12100	359.478	2775.02	0.862362	0	-1	255	511	511	511
12200	359.478	2675.22	0.862362	0	-1	255	511	511	511
12300	359.478	2725.7	0.862362	0	-1	255	511	511	511
12400	359.478	2728.43	0.862362	0	-1	255	511	511	511
12500	483.384	2671.04	0.641311	0	-1	255	255	511	511
12600	483.384	2923.9	0.641311	0	-1	255	255	511	511
12700	483.384	2808.18	0.641311	0	-1	255	255	511	511
12800	483.384	2839.88	0.641311	0	-1	255	255	511	511
12900	483.384	2867.65	0.641311	0	-1	255	255	511	511
13000	560.535	2807.5	0.553043	0	-1	255	255	255	511
13100	560.535	2901.65	0.553043	0	-1	255	255	255	511
13200	560.535	2908.89	0.553043	0	-1	255	255	255	511
13300	560.535	3031.97	0.553043	0	-1	255	255	255	511
13400	560.535	2933.08	0.553043	0	-1	255	255	255	511
13500	310	3009.29	1	0	255	511	511	511	767
13600	310	2607.5	1	0	255	511	511	511	767
13700	310	2590.51	1	0	255	511	511	511	767
13800	310	2612.06	1	0	255	511	511	511	767
13900	310	2562.56	1	0	255	511	511	511	767
14000	416.852	2570.37	0.743668	0	255	255	511	511	767
14100	416.852	2747.12	0.743668	0	255	255	511	511	767
14200	416.852	2713.21	0.743668	0	255	255	511	511	767
14300	416.852	2781.25	0.743668	0	255	255	511	511	767
14400	416.852	2891.41	0.743668	0	255	255	511	511	767
14500	650	2694.27	0.476923	0	255	255	511	511	511
14600	650	3000.1	0.476923	0	255	255	511	511	511
14700	650	3136.33	0.476923	0	255	255	511	511	511
14800	650	3091.58	0.476923	0	255	255	511	511	511
14900	650	3013.17	0.476923	0	255	255	511	511	511
15000	359.478	3067.64	0.862362	0	-1	255	511	511	511
15100	359.478	2631.77	0.862362	0	-1	255	511	511	511
15200	359.478	2685.99	0.862362	0	-1	255	511	511	511
15300	359.478	2670.41	0.862362	0	-1	255	511	511	511
15400	359.478	2705.21	0.862362	0	-1	255	511	511	511
15500	483.384	2602.07	0.641311	0	-1	255	255	511	511
15600	483.384	2867.93	0.641311	0	-1	255	255	511	511
15700	483.384	2816.31	0.641311	0	-1	255	255	511	511
15800	483.384	2791.46	0.641311	0	-1	255	255	511	511
15900	483.384	2888.18	0.641311	0	-1	255	255	511	511
16000	560.535	2912.19	0.553043	0	-1	255	255	255	511
16100	560.535	3049.5	0.553043	0	-1	255	255	255	511
16200	560.535	2958.17	0.553043	0	-1	255	255	255	511
16300	560.535	2921.48	0.553043	0	-1	255	255	255	511
16400	560.535	2866.44	0.553043	0	-1	255	255	255	511
16500	310	2908.04	1	0	255	511	511	511	767
16600	310	2575.08	1	0	255	511	511	511	767
16700	310	2500.81	1	0	255	511	511	511	767
16800	310	2590.63	1	0	255	511	511	511	767
16900	310	2551.61	1	0	255	511	511	511	767
17000	416.852	2587.83	0.743668	0	255	255	511	511	767
17100	416.852	2694.98	0.743668	0	255	255	511	511	767
17200	416.852	2746.37	0.743668	0	255	255	511	511	767
17300	416.852	2699.43	0.743668	0	255	255	511	511	767
17400	416.852	2711.7	0.743668	0	255	255	511	511	767
17500	650	2878.51	0.476923	0	255	255	511	511	511
17600	650	2932.82	0.476923	0	255	255	511	511	511
17700	650	3097.79	0.476923	0	255	255	511	511	511
17800	650	2978.92	0.476923	0	255	255	511	511	511
17900	650	3092.86	0.476923	0	255	255	511	511	511
18000	359.478	3143.44	0.862362	0	-1	255	511	511	511
18100	359.478	2649.26	0.862362	0	-1	255	511	511	511
18200	359.478	2642.61	0.862362	0	-1	255	511	511	511
18300	359.478	2575.21	0.862362	0	-1	255	511	511	511
