"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"352.325K Weight"	"400.43K Weight"	"455.102K Weight"	"517.238K Weight"	"587.859K Weight"	"668.121K Weight"	"759.342K Weight"	"863.017K Weight"	"980.848K Weight"	"1114.77K Weight"	"1266.97K Weight"	"1439.95K Weight"	"1636.56K Weight"	"1860K Weight"
500	759.342	51.2984	0.408248	0	0	-1	-3	-3	-5	-6	-8	-7	-9	-11	-10	-11	-13	-13
1000	352.325	50.2073	0.879868	0	-2	-4	-5	-8	-8	-10	-11	-12	-13	-15	-17	-16	-17	-17
1500	310	50.1955	1	0	-1	-3	-6	-7	-9	-10	-13	-13	-15	-16	-17	-17	-19	-19
2000	980.848	80.1525	0.316053	0	-3	-5	-7	-10	-11	-13	-15	-18	-18	-18	-20	-21	-22	-24
2500	1266.97	83.9449	0.244678	0	-3	-4.5	-7	-8	-9.5	-11	-13	-15.5	-15.5	-17	-17.5	-19	-20	-21
3000	1860	69.7022	0.166667	0	-2	-5	-5.5	-8	-10	-11	-13	-14.5	-14.5	-15.5	-16.5	-17.5	-19	-19.5
3500	1860	162.016	0.166667	0	-2.5	-5	-6.5	-8.5	-10.5	-10.5	-11.5	-14	-14.5	-15.5	-17	-19	-20	-21.5
4000	668.121	77.9132	0.463988	0	-2	-5.5	-8	-10	-12	-13.5	-15.5	-17.5	-18.5	-20.5	-20	-22	-23	-23.5
4500	668.121	53.4593	0.463988	0	-2.75	-4.75	-6.5	-9.5	-10	-12.5	-14	-15	-16	-17.25	-18.25	-18.75	-21	-20.25
5000	668.121	60.2039	0.463988	0	-2.75	-5	-6.5	-9.25	-10.5	-12	-13	-15.25	-15.75	-16.75	-17	-18.25	-19.5	-20
5500	759.342	76.7957	0.408248	0	-2.25	-5	-7	-9	-10.5	-12	-14	-15.75	-16.5	-17.5	-19.5	-19.75	-21.25	-21.5
6000	587.859	58.0672	0.527338	0	-2.75	-5.125	-6.75	-8.25	-10.625	-12	-13	-14.25	-15.5	-16.25	-17.25	-18	-19.5	-19.5
6500	400.43	56.0645	0.774169	0	-2.875	-4.875	-6.875	-8.625	-10.625	-12.25	-13.75	-14.375	-15.75	-16.375	-17.375	-18.625	-19.375	-20.125
7000	400.43	55.7917	0.774169	0	-2.75	-5.25	-7	-8.625	-10.5	-12.125	-13.25	-14.375	-15.875	-16.875	-17.75	-18.75	-19.625	-20.375
7500	310	57.0521	1	0	-2.875	-5.125	-6.625	-8.75	-10	-11.375	-12.875	-14.25	-15.25	-16.5	-17.5	-18.625	-19.25	-19.75
8000	980.848	88.4854	0.316053	0	-1.75	-4.25	-5.75	-7.75	-8.75	-10.25	-11.75	-12.8125	-13.9375	-14.9375	-16.0625	-17.25	-18.125	-18.9375
8500	1266.97	66.351	0.244678	0	-2.0625	-4.625	-6	-8	-9.0625	-10.4375	-12.1875	-13.3125	-14.375	-15.375	-16.375	-17.8125	-18.75	-19.25
9000	668.121	59.05	0.463988	0	-2.0625	-4.4375	-6.1875	-7.8125	-9.375	-10.5625	-12.3125	-13.5	-14.25	-15.25	-16.4375	-17.6875	-18.375	-19.0625
9500	863.017	68.0274	0.359205	0	-2.0625	-4.3125	-6.125	-7.875	-9.625	-10.75	-12.6875	-13.8125	-14.875	-15.875	-17.0625	-18.25	-18.6875	-19.6875
10000	455.102	55.8136	0.681167	0	-2.3125	-4.4375	-6.25	-8.125	-10.0625	-11.5	-12.9375	-13.9375	-15.1875	-16.3125	-17	-18.5	-18.75	-19.8125
10500	1636.56	96.1383	0.189422	0	-2.53125	-4.6875	-6.28125	-8.09375	-9.8125	-11.1875	-12.7188	-13.8438	-14.9062	-15.8125	-16.625	-18.0312	-18.4375	-19.3438
11000	1860	64.9499	0.166667	0	-2.5	-4.625	-6.4375	-8.03125	-9.78125	-11.1875	-12.75	-13.7812	-14.7812	-15.8125	-16.5938	-18	-18.625	-19.7188
11500	1266.97	70.6445	0.244678	0	-2.375	-4.625	-6.4375	-8.1875	-9.84375	-11.1875	-12.7188	-13.8438	-14.8438	-15.8438	-16.75	-17.9375	-18.6562	-19.6875
12000	863.017	63.419	0.359205	0	-2.4375	-4.59375	-6.34375	-8.25	-9.84375	-11.2188	-12.75	-13.7812	-14.875	-15.8438	-16.8125	-17.9688	-18.75	-19.7812
12500	1266.97	86.7465	0.244678	0	-2.40625	-4.59375	-6.34375	-8.25	-9.84375	-11.2812	-12.7812	-13.9688	-14.9688	-16	-17.0625	-18.375	-18.9688	-20.125
13000	863.017	58.6191	0.359205	0	-2.5625	-4.625	-6.40625	-8.375	-9.90625	-11.4062	-12.9219	-14.1406	-15.2188	-16.1875	-17.4062	-18.625	-19.25	-20.4062
13500	1860	148.468	0.166667	0	-2.57812	-4.64062	-6.4375	-8.40625	-9.92188	-11.4375	-13.0312	-14.2031	-15.3438	-16.3125	-17.5469	-18.7656	-19.6719	-20.7031
14000	517.238	64.717	0.599337	0	-2.46875	-4.51562	-6.35938	-8.29688	-9.82812	-11.3281	-12.9219	-14.1406	-15.2656	-16.2812	-17.5469	-18.7031	-19.7344	-20.5938
14500	980.848	70.6047	0.316053	0	-2.51562	-4.51562	-6.375	-8.34375	-9.92188	-11.4219	-13	-14.2188	-15.4219	-16.4219	-17.6406	-18.7812	-19.8594	-20.6406
15000	1636.56	153.447	0.189422	0	-2.54688	-4.51562	-6.40625	-8.34375	-10.0156	-11.5	-13.0156	-14.3594	-15.5469	-16.5938	-17.7812	-18.8438	-20.0312	-20.9062
15500	587.859	63.1421	0.527338	0	-2.53125	-4.5	-6.4375	-8.32812	-10.0469	-11.5625	-13.0938	-14.4531	-15.6875	-16.7656	-17.9375	-19.0469	-20.2344	-21.1094
16000	1439.95	93.381	0.215285	0	-2.53125	-4.5	-6.45312	-8.375	-10.125	-11.6562	-13.1719	-14.625	-15.9062	-16.9219	-18.1094	-19.3125	-20.3281	-21.2812
16500	455.102	66.4278	0.681167	0	-2.53125	-4.53125	-6.53125	-8.40625	-10.1562	-11.7344	-13.2969	-14.7812	-16.0469	-17.1406	-18.375	-19.4062	-20.5	-21.4219
17000	863.017	84.0853	0.359205	0	-2.53125	-4.5625	-6.54688	-8.42188	-10.1719	-11.8125	-13.3438	-14.9062	-16.1875	-17.2812	-18.5312	-19.6406	-20.75	-21.7344
17500	1439.95	97.6678	0.215285	0	-2.53125	-4.5625	-6.60938	-8.46875	-10.25	-11.9531	-13.4688	-15	-16.2969	-17.4219	-18.625	-19.8125	-20.9062	-21.8438
18000	1266.97	75.7616	0.244678	0	-2.51562	-4.57812	-6.71875	-8.54688	-10.3594	-12.0469	-13.625	-15.0781	-16.4844	-17.5625	-18.7656	-19.8906	-21.0156	-21.8906
18500	1636.56	86.402	0.189422	0	-2.53125	-4.59375	-6.71875	-8.64062	-10.4375	-12.1875	-13.7812	-15.1875	-16.5781	-17.7969	-18.9531	-19.9688	-21.2188	-22.0469
19000	1439.95	113.882	0.215285	0	-2.54688	-4.625	-6.71875	-8.70312	-10.5	-12.3125	-13.8438	-15.3125	-16.75	-17.9062	-19.1562	-20.125	-21.5	-22.2031
19500	1114.77	80.281	0.278085	0	-2.5625	-4.65625	-6.76562	-8.75	-10.5625	-12.4062	-14	-15.4062	-16.8281	-18.0781	-19.2812	-20.2812	-21.5938	-22.3594
