"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"325.179K Weight"	"341.101K Weight"	"357.803K Weight"	"375.323K Weight"	"393.7K Weight"	"412.978K Weight"	"433.199K Weight"	"454.41K Weight"	"476.661K Weight"	"500K Weight"
50000	476.661	1708.61	0.650358	0	0	0	0	0	0	0	0	-14	-33	-53
100000	433.199	1390.25	0.715606	0	0	0	0	0	0	-3	-21	-40	-59	-77
150000	454.41	1453.59	0.682203	0	0	0	0	0	-3	-21	-39	-60	-79	-98
200000	433.199	1415.17	0.715606	0	0	0	0	-1	-19	-38	-57	-76	-95	-114
250000	433.199	1284.59	0.715606	0	0	0	0	-17	-33	-53	-71	-89	-107	-130
300000	393.7	1249.09	0.787401	0	0	0	-9	-28	-48	-65	-84	-103	-121	-142
350000	357.803	1087.62	0.866398	0	0	-4	-22	-41	-58	-76	-96	-114	-134	-155
400000	375.323	1094	0.825956	0	0	-18	-34	-52	-69	-87	-107	-125	-145	-163
450000	454.41	1457.09	0.682203	0	-9	-26	-44	-62	-80	-98	-115	-137	-155	-174
500000	500	1662.73	0.62	0	-19	-34	-49	-68	-87	-105	-124	-141	-161	-179
550000	325.179	1009.24	0.953321	0	-16	-35	-54	-70	-90	-109	-127	-148	-166	-186
600000	325.179	1001.66	0.953321	0	-18	-36	-56	-71	-91	-108	-128	-146	-165	-183
650000	500	1654.21	0.62	0	-17.5	-34	-51	-69.5	-88.5	-106	-124.5	-144	-163	-182
700000	325.179	1022.4	0.953321	0	-17.5	-35	-52	-70	-88.5	-107.5	-126	-144.5	-165.5	-185
750000	454.41	1480.11	0.682203	0	-16.5	-35.25	-52.25	-69.75	-86.75	-104.25	-123.25	-141	-161	-179
800000	341.101	1025.34	0.908821	0	-16.75	-34.25	-52.25	-69.5	-88.25	-106.25	-124.25	-143.75	-162	-180.25
850000	433.199	1458.98	0.715606	0	-17.25	-34.5	-52.5	-69.75	-87.25	-105.5	-124	-142.25	-161.25	-180.75
