"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"353.769K Weight"	"403.717K Weight"	"460.718K Weight"	"525.767K Weight"	"600K Weight"
2701500	600	907.694	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2702000	525.767	1016.46	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2702500	310	1096.21	1	0	50.9713	94.2143	130.559	161.473	187.61
2703000	525.767	906.807	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2703500	310	1093.21	1	0	50.9713	94.2143	130.559	161.473	187.61
2704000	460.718	908.886	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2704500	460.718	1015.74	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2705000	310	1046.73	1	0	50.9713	94.2143	130.559	161.473	187.61
2705500	525.767	913.303	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2706000	460.718	1006.76	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2706500	525.767	970.454	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2707000	460.718	1015.94	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2707500	600	961.735	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2708000	310	1136.38	1	0	50.9713	94.2143	130.559	161.473	187.61
2708500	600	913.269	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2709000	310	1176.06	1	0	50.9713	94.2143	130.559	161.473	187.61
2709500	600	913.688	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2710000	310	1204.64	1	0	50.9713	94.2143	130.559	161.473	187.61
2710500	600	924.403	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2711000	353.769	1056.76	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2711500	525.767	937.531	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2712000	353.769	1090.82	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2712500	525.767	914.955	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2713000	310	1090.99	1	0	50.9713	94.2143	130.559	161.473	187.61
2713500	600	895.215	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2714000	310	1096.44	1	0	50.9713	94.2143	130.559	161.473	187.61
2714500	600	894.942	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2715000	353.769	1066.96	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2715500	525.767	970.268	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2716000	310	1133.67	1	0	50.9713	94.2143	130.559	161.473	187.61
2716500	600	838.763	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2717000	310	1149.11	1	0	50.9713	94.2143	130.559	161.473	187.61
2717500	600	925.63	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2718000	310	1057.97	1	0	50.9713	94.2143	130.559	161.473	187.61
2718500	600	873.306	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2719000	353.769	1041.6	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2719500	460.718	997.729	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2720000	403.717	967.691	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2720500	525.767	989.936	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2721000	353.769	1042.75	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2721500	525.767	945.87	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2722000	353.769	1027.49	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2722500	600	892.21	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2723000	310	1087.57	1	0	50.9713	94.2143	130.559	161.473	187.61
2723500	600	903.053	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2724000	310	1107.3	1	0	50.9713	94.2143	130.559	161.473	187.61
2724500	460.718	893.947	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2725000	403.717	982.73	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2725500	403.717	965.69	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2726000	403.717	990.528	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2726500	403.717	968.386	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2727000	600	901.482	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2727500	310	1096.39	1	0	50.9713	94.2143	130.559	161.473	187.61
2728000	525.767	919.481	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2728500	353.769	1008.66	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2729000	525.767	905.973	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2729500	460.718	1021	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2730000	353.769	1006.84	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2730500	600	911.234	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2731000	310	1082.57	1	0	50.9713	94.2143	130.559	161.473	187.61
2731500	460.718	957.502	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2732000	403.717	1065.16	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2732500	525.767	943.523	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2733000	353.769	1045.39	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2733500	525.767	904.32	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2734000	310	1116.53	1	0	50.9713	94.2143	130.559	161.473	187.61
2734500	600	885.131	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2735000	353.769	1047.31	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2735500	525.767	940.331	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2736000	310	1069.65	1	0	50.9713	94.2143	130.559	161.473	187.61
2736500	460.718	953.887	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2737000	353.769	1034.66	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2737500	460.718	933.037	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2738000	403.717	1010.65	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2738500	525.767	942.018	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2739000	403.717	1015.22	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2739500	460.718	976.857	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2740000	600	925.755	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2740500	403.717	1021.36	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2741000	525.767	957.804	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2741500	460.718	993.284	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2742000	353.769	995.052	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2742500	600	904.69	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2743000	353.769	1076.71	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2743500	403.717	1010.73	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2744000	460.718	963.775	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2744500	525.767	995.059	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2745000	403.717	1011.16	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2745500	403.717	977.253	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2746000	525.767	924.075	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2746500	403.717	1034.28	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2747000	460.718	972.461	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2747500	403.717	1050.54	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2748000	460.718	969.762	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2748500	403.717	1027.83	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2749000	403.717	1009.42	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2749500	525.767	956.518	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2750000	310	1081.16	1	0	50.9713	94.2143	130.559	161.473	187.61
2750500	600	882.448	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2751000	460.718	1029.43	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2751500	353.769	1031.69	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2752000	403.717	959.444	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2752500	353.769	978.419	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2753000	403.717	939.632	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2753500	353.769	979.891	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2754000	600	909.528	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2754500	310	1054.98	1	0	50.9713	94.2143	130.559	161.473	187.61
2755000	600	899.837	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2755500	310	1139.83	1	0	50.9713	94.2143	130.559	161.473	187.61
2756000	525.767	901.401	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2756500	460.718	1000.9	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2757000	525.767	985.701	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2757500	353.769	1026.62	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2758000	403.717	919.264	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2758500	460.718	996.065	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2759000	460.718	998.079	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2759500	525.767	941.08	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2760000	310	1086.82	1	0	50.9713	94.2143	130.559	161.473	187.61
2760500	600	840.165	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2761000	310	1091.43	1	0	50.9713	94.2143	130.559	161.473	187.61
2761500	525.767	904.527	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2762000	353.769	1058.54	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2762500	353.769	974.408	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2763000	460.718	998.476	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2763500	353.769	1031.93	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2764000	525.767	965.921	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2764500	310	1045.54	1	0	50.9713	94.2143	130.559	161.473	187.61
2765000	600	908.819	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2765500	353.769	1062.29	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2766000	460.718	996.73	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2766500	353.769	1037.92	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2767000	525.767	967.448	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2767500	353.769	1057.36	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2768000	525.767	955.458	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2768500	310	1122.46	1	0	50.9713	94.2143	130.559	161.473	187.61
2769000	460.718	906.308	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2769500	460.718	1012.53	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2770000	460.718	1004.66	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2770500	460.718	979.897	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2771000	353.769	1033.62	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2771500	403.717	960.271	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2772000	525.767	955.381	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2772500	460.718	973.299	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2773000	403.717	1015.24	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2773500	460.718	979.048	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2774000	525.767	934.268	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2774500	353.769	1050.73	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2775000	600	933.288	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2775500	310	1072.53	1	0	50.9713	94.2143	130.559	161.473	187.61
2776000	600	904.409	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2776500	310	1036.88	1	0	50.9713	94.2143	130.559	161.473	187.61
2777000	525.767	900.369	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2777500	403.717	1018.75	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2778000	460.718	939.198	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2778500	525.767	923.465	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2779000	353.769	1022.71	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2779500	403.717	954.643	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2780000	353.769	1005.24	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2780500	600	956.241	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2781000	310	1123.53	1	0	50.9713	94.2143	130.559	161.473	187.61
2781500	600	889.271	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2782000	310	1159.03	1	0	50.9713	94.2143	130.559	161.473	187.61
2782500	600	878.237	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2783000	310	1101.39	1	0	50.9713	94.2143	130.559	161.473	187.61
2783500	525.767	925.922	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2784000	460.718	1021.8	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2784500	525.767	961.373	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2785000	403.717	1051.8	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2785500	353.769	1068.4	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2786000	600	920.259	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2786500	310	1052.16	1	0	50.9713	94.2143	130.559	161.473	187.61
2787000	600	880.09	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2787500	310	1071.9	1	0	50.9713	94.2143	130.559	161.473	187.61
2788000	525.767	945.02	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2788500	403.717	1034.45	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2789000	353.769	1073.83	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2789500	525.767	932.697	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2790000	353.769	1020.97	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2790500	600	961.457	0.516667	0	50.9713	94.2143	130.559	161.473	187.61
2791000	310	1084.16	1	0	50.9713	94.2143	130.559	161.473	187.61
2791500	525.767	955.307	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2792000	353.769	1016.76	0.876278	0	50.9713	94.2143	130.559	161.473	187.61
2792500	525.767	927.169	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2793000	460.718	1020.24	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2793500	525.767	987.455	0.589615	0	50.9713	94.2143	130.559	161.473	187.61
2794000	310	1138.11	1	0	50.9713	94.2143	130.559	161.473	187.61
2794500	460.718	946.359	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2795000	460.718	976.609	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2795500	403.717	1057.2	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2796000	460.718	977.428	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2796500	403.717	1002.76	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
2797000	460.718	987.967	0.672862	0	50.9713	94.2143	130.559	161.473	187.61
2797500	403.717	967.459	0.767864	0	50.9713	94.2143	130.559	161.473	187.61
