"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"353.769K Weight"	"403.717K Weight"	"460.718K Weight"	"525.767K Weight"	"600K Weight"
100	310	761.272	1	0	0	0	0	0	0
200	310	771.816	1	0	0	0	0	0	0
300	310	779.595	1	0	0	0	0	0	0
400	310	810.384	1	0	0	0	0	0	0
500	310	821.702	1	0	1	1	1	1	1
600	310	854.427	1	0	1	1	1	1	1
700	310	836.813	1	0	1	1	1	1	1
800	310	841.251	1	0	1	1	1	1	1
900	310	868.223	1	0	1	1	1	1	1
1000	310	853.478	1	0	3	3	3	3	3
1100	310	848.44	1	0	3	3	3	3	3
1200	310	844.502	1	0	3	3	3	3	3
1300	310	849.08	1	0	3	3	3	3	3
1400	310	824.62	1	0	3	3	3	3	3
1500	310	871.861	1	0	7	7	7	7	7
1600	310	847.865	1	0	7	7	7	7	7
1700	310	799.352	1	0	7	7	7	7	7
1800	310	856.057	1	0	7	7	7	7	7
1900	310	855.666	1	0	7	7	7	7	7
2000	310	875.19	1	0	15	15	15	15	15
2100	310	860.58	1	0	15	15	15	15	15
2200	310	864.908	1	0	15	15	15	15	15
2300	310	846.036	1	0	15	15	15	15	15
2400	310	834.48	1	0	15	15	15	15	15
2500	310	903.774	1	0	31	31	31	31	31
2600	310	845.537	1	0	31	31	31	31	31
2700	310	874.927	1	0	31	31	31	31	31
2800	310	851.857	1	0	31	31	31	31	31
2900	310	885.509	1	0	31	31	31	31	31
3000	310	858.401	1	0	63	63	63	63	63
3100	310	866.467	1	0	63	63	63	63	63
3200	310	857.789	1	0	63	63	63	63	63
3300	310	880.409	1	0	63	63	63	63	63
3400	310	895.772	1	0	63	63	63	63	63
3500	353.769	881.067	0.876278	0	-1	63	63	63	63
3600	353.769	881.06	0.876278	0	-1	63	63	63	63
3700	353.769	922.605	0.876278	0	-1	63	63	63	63
3800	353.769	925.027	0.876278	0	-1	63	63	63	63
3900	353.769	928.016	0.876278	0	-1	63	63	63	63
4000	310	908.19	1	0	63	127	127	127	127
4100	310	895.152	1	0	63	127	127	127	127
4200	310	888.869	1	0	63	127	127	127	127
4300	310	931.583	1	0	63	127	127	127	127
4400	310	886.538	1	0	63	127	127	127	127
4500	403.717	876.19	0.767864	0	63	63	127	127	127
4600	403.717	948.774	0.767864	0	63	63	127	127	127
4700	403.717	993.513	0.767864	0	63	63	127	127	127
4800	403.717	958.386	0.767864	0	63	63	127	127	127
4900	403.717	960.139	0.767864	0	63	63	127	127	127
5000	353.769	928.85	0.876278	0	-1	63	127	127	127
5100	353.769	940.658	0.876278	0	-1	63	127	127	127
5200	353.769	924.695	0.876278	0	-1	63	127	127	127
5300	353.769	944.671	0.876278	0	-1	63	127	127	127
5400	353.769	900.31	0.876278	0	-1	63	127	127	127
5500	460.718	883.135	0.672862	0	-1	63	63	127	127
5600	460.718	1001.05	0.672862	0	-1	63	63	127	127
5700	460.718	978.324	0.672862	0	-1	63	63	127	127
5800	460.718	940.524	0.672862	0	-1	63	63	127	127
5900	460.718	988.999	0.672862	0	-1	63	63	127	127
6000	310	953.795	1	0	63	127	127	191	191
6100	310	897.337	1	0	63	127	127	191	191
6200	310	935.303	1	0	63	127	127	191	191
6300	310	924.998	1	0	63	127	127	191	191
6400	310	903.898	1	0	63	127	127	191	191
6500	403.717	919.805	0.767864	0	63	63	127	191	191
6600	403.717	902.609	0.767864	0	63	63	127	191	191
6700	403.717	905.331	0.767864	0	63	63	127	191	191
6800	403.717	957.757	0.767864	0	63	63	127	191	191
6900	403.717	935.316	0.767864	0	63	63	127	191	191
7000	525.767	936.58	0.589615	0	63	63	127	127	191
7100	525.767	1033.51	0.589615	0	63	63	127	127	191
7200	525.767	1012.16	0.589615	0	63	63	127	127	191
7300	525.767	1039.28	0.589615	0	63	63	127	127	191
7400	525.767	1011.26	0.589615	0	63	63	127	127	191
7500	353.769	1080.82	0.876278	0	-1	63	127	127	191
7600	353.769	960.381	0.876278	0	-1	63	127	127	191
7700	353.769	928.971	0.876278	0	-1	63	127	127	191
7800	353.769	924.316	0.876278	0	-1	63	127	127	191
7900	353.769	932.276	0.876278	0	-1	63	127	127	191
8000	600	932.48	0.516667	0	-1	63	127	127	127
8100	600	1053.3	0.516667	0	-1	63	127	127	127
8200	600	1051.77	0.516667	0	-1	63	127	127	127
8300	600	1088.02	0.516667	0	-1	63	127	127	127
8400	600	1115.27	0.516667	0	-1	63	127	127	127
8500	310	1038.83	1	0	63	127	191	191	191
8600	310	941.144	1	0	63	127	191	191	191
8700	310	939.579	1	0	63	127	191	191	191
8800	310	911.754	1	0	63	127	191	191	191
8900	310	880.927	1	0	63	127	191	191	191
9000	460.718	861.858	0.672862	0	63	127	127	191	191
9100	460.718	980.081	0.672862	0	63	127	127	191	191
9200	460.718	977.418	0.672862	0	63	127	127	191	191
9300	460.718	960.619	0.672862	0	63	127	127	191	191
9400	460.718	972.301	0.672862	0	63	127	127	191	191
9500	403.717	1004.24	0.767864	0	63	63	127	191	191
9600	403.717	944.118	0.767864	0	63	63	127	191	191
9700	403.717	958.369	0.767864	0	63	63	127	191	191
9800	403.717	979.601	0.767864	0	63	63	127	191	191
9900	403.717	988.718	0.767864	0	63	63	127	191	191
10000	525.767	1029.48	0.589615	0	63	63	127	127	191
10100	525.767	986.294	0.589615	0	63	63	127	127	191
10200	525.767	1050.22	0.589615	0	63	63	127	127	191
10300	525.767	1066.9	0.589615	0	63	63	127	127	191
10400	525.767	999.327	0.589615	0	63	63	127	127	191
10500	353.769	989.665	0.876278	0	-1	63	127	127	191
10600	353.769	959.906	0.876278	0	-1	63	127	127	191
10700	353.769	938.242	0.876278	0	-1	63	127	127	191
10800	353.769	934.675	0.876278	0	-1	63	127	127	191
10900	353.769	936.287	0.876278	0	-1	63	127	127	191
11000	600	968.821	0.516667	0	-1	63	127	127	127
11100	600	1030.81	0.516667	0	-1	63	127	127	127
11200	600	1084.62	0.516667	0	-1	63	127	127	127
11300	600	1005.6	0.516667	0	-1	63	127	127	127
11400	600	1043.12	0.516667	0	-1	63	127	127	127
11500	310	1089.02	1	0	63	127	191	191	191
11600	310	988.901	1	0	63	127	191	191	191
11700	310	964.903	1	0	63	127	191	191	191
11800	310	994.61	1	0	63	127	191	191	191
11900	310	905.626	1	0	63	127	191	191	191
12000	460.718	952.965	0.672862	0	63	127	127	191	191
12100	460.718	999.089	0.672862	0	63	127	127	191	191
12200	460.718	1069.65	0.672862	0	63	127	127	191	191
12300	460.718	973.154	0.672862	0	63	127	127	191	191
12400	460.718	1018.03	0.672862	0	63	127	127	191	191
12500	403.717	988.24	0.767864	0	63	63	127	191	191
12600	403.717	982.17	0.767864	0	63	63	127	191	191
12700	403.717	969.35	0.767864	0	63	63	127	191	191
12800	403.717	998.954	0.767864	0	63	63	127	191	191
12900	403.717	943.377	0.767864	0	63	63	127	191	191
13000	525.767	978.036	0.589615	0	63	63	127	127	191
13100	525.767	1002.48	0.589615	0	63	63	127	127	191
13200	525.767	1107.82	0.589615	0	63	63	127	127	191
13300	525.767	1058.44	0.589615	0	63	63	127	127	191
13400	525.767	1032.36	0.589615	0	63	63	127	127	191
13500	353.769	1054.05	0.876278	0	-1	63	127	127	191
13600	353.769	940.794	0.876278	0	-1	63	127	127	191
13700	353.769	943.408	0.876278	0	-1	63	127	127	191
13800	353.769	951.328	0.876278	0	-1	63	127	127	191
13900	353.769	932.163	0.876278	0	-1	63	127	127	191
14000	600	964.187	0.516667	0	-1	63	127	127	127
14100	600	1066.87	0.516667	0	-1	63	127	127	127
14200	600	1056.81	0.516667	0	-1	63	127	127	127
14300	600	1062.26	0.516667	0	-1	63	127	127	127
14400	600	1173.99	0.516667	0	-1	63	127	127	127
14500	310	1050.85	1	0	63	127	191	191	191
14600	310	1005.59	1	0	63	127	191	191	191
14700	310	952.583	1	0	63	127	191	191	191
14800	310	901.542	1	0	63	127	191	191	191
14900	310	926.273	1	0	63	127	191	191	191
15000	460.718	854.918	0.672862	0	63	127	127	191	191
15100	460.718	1014.9	0.672862	0	63	127	127	191	191
15200	460.718	968.205	0.672862	0	63	127	127	191	191
15300	460.718	1052.48	0.672862	0	63	127	127	191	191
15400	460.718	972.635	0.672862	0	63	127	127	191	191
15500	403.717	990.093	0.767864	0	63	63	127	191	191
15600	403.717	967.487	0.767864	0	63	63	127	191	191
15700	403.717	1001.96	0.767864	0	63	63	127	191	191
15800	403.717	970.128	0.767864	0	63	63	127	191	191
15900	403.717	930.652	0.767864	0	63	63	127	191	191
16000	525.767	973.777	0.589615	0	63	63	127	127	191
16100	525.767	988.81	0.589615	0	63	63	127	127	191
16200	525.767	959.75	0.589615	0	63	63	127	127	191
16300	525.767	1036.43	0.589615	0	63	63	127	127	191
16400	525.767	1007.17	0.589615	0	63	63	127	127	191
16500	353.769	975.793	0.876278	0	-1	63	127	127	191
16600	353.769	905.528	0.876278	0	-1	63	127	127	191
16700	353.769	948.062	0.876278	0	-1	63	127	127	191
16800	353.769	921.878	0.876278	0	-1	63	127	127	191
16900	353.769	938.205	0.876278	0	-1	63	127	127	191
17000	600	945.351	0.516667	0	-1	63	127	127	127
17100	600	1122.13	0.516667	0	-1	63	127	127	127
17200	600	1107.2	0.516667	0	-1	63	127	127	127
17300	600	1013.45	0.516667	0	-1	63	127	127	127
17400	600	1056.09	0.516667	0	-1	63	127	127	127
17500	310	1137.42	1	0	63	127	191	191	191
17600	310	928.976	1	0	63	127	191	191	191
17700	310	963.553	1	0	63	127	191	191	191
17800	310	925.865	1	0	63	127	191	191	191
17900	310	942.867	1	0	63	127	191	191	191
18000	460.718	909.039	0.672862	0	63	127	127	191	191
18100	460.718	987.59	0.672862	0	63	127	127	191	191
18200	460.718	956.707	0.672862	0	63	127	127	191	191
18300	460.718	948.572	0.672862	0	63	127	127	191	191
18400	460.718	974.652	0.672862	0	63	127	127	191	191
18500	403.717	1005.73	0.767864	0	63	63	127	191	191
18600	403.717	1001.45	0.767864	0	63	63	127	191	191
18700	403.717	969.654	0.767864	0	63	63	127	191	191
18800	403.717	923.885	0.767864	0	63	63	127	191	191
18900	403.717	887.838	0.767864	0	63	63	127	191	191
19000	525.767	940.219	0.589615	0	63	63	127	127	191
19100	525.767	1011.57	0.589615	0	63	63	127	127	191
19200	525.767	1091.95	0.589615	0	63	63	127	127	191
19300	525.767	1040.65	0.589615	0	63	63	127	127	191
19400	525.767	1008.47	0.589615	0	63	63	127	127	191
19500	353.769	1090.05	0.876278	0	-1	63	127	127	191
19600	353.769	953.124	0.876278	0	-1	63	127	127	191
19700	353.769	928.08	0.876278	0	-1	63	127	127	191
19800	353.769	986.641	0.876278	0	-1	63	127	127	191
19900	353.769	894.158	0.876278	0	-1	63	127	127	191
20000	600	951.728	0.516667	0	-1	63	127	127	127
20100	600	990.832	0.516667	0	-1	63	127	127	127
20200	600	1071.84	0.516667	0	-1	63	127	127	127
20300	600	1090.73	0.516667	0	-1	63	127	127	127
20400	600	1109.77	0.516667	0	-1	63	127	127	127
20500	310	1075.17	1	0	63	127	191	191	191
20600	310	917.592	1	0	63	127	191	191	191
20700	310	922.926	1	0	63	127	191	191	191
20800	310	925.93	1	0	63	127	191	191	191
20900	310	937.438	1	0	63	127	191	191	191
21000	460.718	906.759	0.672862	0	63	127	127	191	191
21100	460.718	1000.3	0.672862	0	63	127	127	191	191
21200	460.718	1033.03	0.672862	0	63	127	127	191	191
21300	460.718	1006.13	0.672862	0	63	127	127	191	191
21400	460.718	981.687	0.672862	0	63	127	127	191	191
21500	403.717	1004.19	0.767864	0	63	63	127	191	191
21600	403.717	1000.19	0.767864	0	63	63	127	191	191
21700	403.717	967.105	0.767864	0	63	63	127	191	191
21800	403.717	1008.04	0.767864	0	63	63	127	191	191
21900	403.717	970.253	0.767864	0	63	63	127	191	191
22000	525.767	946.706	0.589615	0	63	63	127	127	191
22100	525.767	999.028	0.589615	0	63	63	127	127	191
22200	525.767	973.613	0.589615	0	63	63	127	127	191
22300	525.767	1025.98	0.589615	0	63	63	127	127	191
22400	525.767	1023.92	0.589615	0	63	63	127	127	191
22500	353.769	1067.26	0.876278	0	-1	63	127	127	191
22600	353.769	948.961	0.876278	0	-1	63	127	127	191
22700	353.769	900.584	0.876278	0	-1	63	127	127	191
