"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"353.769K Weight"	"403.717K Weight"	"460.718K Weight"	"525.767K Weight"	"600K Weight"
100	310	1463.66	1	0	0	0	0	0	0
200	310	1467.73	1	0	0	0	0	0	0
300	310	1448.88	1	0	1	1	1	1	1
400	310	1520.94	1	0	1	1	1	1	1
500	310	1513.66	1	0	3	3	3	3	3
600	310	1550.21	1	0	3	3	3	3	3
700	310	1574.38	1	0	3	3	3	3	3
800	310	1564.41	1	0	7	7	7	7	7
900	310	1536.22	1	0	7	7	7	7	7
1000	310	1581.65	1	0	15	15	15	15	15
1100	310	1559.97	1	0	15	15	15	15	15
1200	310	1616.59	1	0	15	15	15	15	15
1300	310	1585.21	1	0	31	31	31	31	31
